El.  	  Z	   A	Spin/Parity  	  Isotopic fraction	  Mag. moment	  num. density (core)	  num. density (mantle)	  num. density (crust)
Xe   	 54	 136	0+           	             0.0886	    0        	          0          	            0          	           2.6594e+26
Cs   	 55	 133	7/2+         	             1     	    2.58202  	          3.2295e+30 	            3.68972e+29	           2.49576e+31
Ba   	 56	 130	0+           	             0.0011	    0        	          0          	            1.35894e+32	           4.32233e+33
Ba   	 56	 132	0+           	             0.001 	    0        	          0          	            1.35894e+32	           4.32233e+33
Ba   	 56	 134	0+           	             0.0242	    0        	          0          	            1.35894e+32	           4.32233e+33
Ba   	 56	 135	3/2+         	             0.0659	    0.83794  	          0          	            1.35894e+32	           4.32233e+33
Ba   	 56	 136	0+           	             0.0785	    0        	          0          	            1.35894e+32	           4.32233e+33
Ba   	 56	 137	3/2+         	             0.1123	    0.93737  	          0          	            1.35894e+32	           4.32233e+33
Ba   	 56	 138	0+           	             0.717 	    0        	          0          	            1.35894e+32	           4.32233e+33
La   	 57	 138	5+           	             0.0009	    3.71365  	          0          	            1.33996e+31	           4.27319e+32
La   	 57	 139	7/2+         	             0.9991	    2.78305  	          0          	            1.33996e+31	           4.27319e+32
Ce   	 58	 136	0+           	             0.0019	    0        	          0          	            3.40827e+31	           7.47581e+32
Ce   	 58	 138	0+           	             0.0025	    0        	          0          	            3.40827e+31	           7.47581e+32
Ce   	 58	 140	0+           	             0.8845	    0        	          0          	            3.40827e+31	           7.47581e+32
Ce   	 58	 142	0+           	             0.1111	    0        	          0          	            3.40827e+31	           7.47581e+32
Pr   	 59	 141	5/2+         	             1     	    4.2754   	          0          	            5.13714e+30	           1.06551e+32
Nd   	 60	 142	0+           	             0.2715	    0        	          0          	            2.53284e+31	           3.99413e+32
Nd   	 60	 143	7/2-         	             0.1217	   -1.065    	          0          	            2.53284e+31	           3.99413e+32
Nd   	 60	 144	0+           	             0.238 	    0        	          0          	            2.53284e+31	           3.99413e+32
Nd   	 60	 145	7/2-         	             0.0829	   -0.656    	          0          	            2.53284e+31	           3.99413e+32
Nd   	 60	 146	0+           	             0.1719	    0        	          0          	            2.53284e+31	           3.99413e+32
Nd   	 60	 148	0+           	             0.0576	    0        	          0          	            2.53284e+31	           3.99413e+32
Nd   	 60	 150	0+           	             0.0564	    0        	          0          	            2.53284e+31	           3.99413e+32
Sm   	 62	 144	0+           	             0.0307	    0        	          0          	            7.8763e+30 	           6.96648e+31
Sm   	 62	 147	7/2-         	             0.1499	   -0.812    	          0          	            7.8763e+30 	           6.96648e+31
Sm   	 62	 148	0+           	             0.1124	    0        	          0          	            7.8763e+30 	           6.96648e+31
Sm   	 62	 149	7/2-         	             0.1382	   -0.6677   	          0          	            7.8763e+30 	           6.96648e+31
Sm   	 62	 150	0+           	             0.0738	    0        	          0          	            7.8763e+30 	           6.96648e+31
Sm   	 62	 152	0+           	             0.2675	    0        	          0          	            7.8763e+30 	           6.96648e+31
Sm   	 62	 154	0+           	             0.2275	    0        	          0          	            7.8763e+30 	           6.96648e+31
Eu   	 63	 151	5/2+         	             0.4781	    3.4717   	          0          	            2.98496e+30	           2.06788e+31
Eu   	 63	 153	5/2+         	             0.5219	    1.5324   	          0          	            2.98496e+30	           2.06788e+31
Gd   	 64	 152	0+           	             0.802 	    0        	          0          	            1.01438e+31	           5.77307e+31
Gd   	 64	 154	0+           	             0.0218	    0        	          0          	            1.01438e+31	           5.77307e+31
Gd   	 64	 155	3/2-         	             0.148 	   -0.2572   	          0          	            1.01438e+31	           5.77307e+31
Gd   	 64	 156	0+           	             0.2047	    0        	          0          	            1.01438e+31	           5.77307e+31
Gd   	 64	 157	3/2-         	             0.1565	   -0.3398   	          0          	            1.01438e+31	           5.77307e+31
Gd   	 64	 158	0+           	             0.2484	    0        	          0          	            1.01438e+31	           5.77307e+31
Gd   	 64	 160	0+           	             0.2186	    0        	          0          	            1.01438e+31	           5.77307e+31
Tb   	 65	 159	3/2+         	             1     	    2.014    	          0          	            1.84281e+30	           1.02161e+31
Dy   	 66	 156	0+           	             0.0006	    0        	          0          	            1.21364e+31	           6.6609e+31
Dy   	 66	 158	0+           	             0.001 	    0        	          0          	            1.21364e+31	           6.6609e+31
Dy   	 66	 160	0+           	             0.0233	    0        	          0          	            1.21364e+31	           6.6609e+31
Dy   	 66	 161	5/2+         	             0.1889	   -0.48     	          0          	            1.21364e+31	           6.6609e+31
Dy   	 66	 162	0+           	             0.2548	    0        	          0          	            1.21364e+31	           6.6609e+31
Dy   	 66	 163	5/2-         	             0.249 	    0.673    	          0          	            1.21364e+31	           6.6609e+31
Dy   	 66	 164	0+           	             0.2826	    0        	          0          	            1.21364e+31	           6.6609e+31
Ho   	 67	 165	7/2-         	             1     	    4.17     	          0          	            2.63797e+30	           1.27021e+31
Er   	 68	 162	0+           	             0.0014	    0        	          0          	            7.62944e+30	           3.13131e+31
Er   	 68	 164	0+           	             0.016 	    0        	          0          	            7.62944e+30	           3.13131e+31
Er   	 68	 166	0+           	             0.335 	    0        	          0          	            7.62944e+30	           3.13131e+31
